,Estimates of Total Population for ZIP Code Tabulation Areas by County Part,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
0,"Washington State Office of Financial Management, Small Area Estimate Program (SAEP)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,By using these data the user agrees that the Washington State Office of Financial Management shall not be liable for any activity involving these data with regard to lost profits,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"or savings or any other consequential damages; or the fitness for use of the data for a particular purpose; or the installation of the data, its use, or the results obtained.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Estimates are approximations. Accuracy evaluation for Washington's small area estimates is still in progress. However, based on other evaluations of small area estimates, the",,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"error for areas of about 1,000 in population may range from 5 to 15 percent. Variances for smaller areas may be considerably higher. Furthermore, all SAEP estimates are",,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,subject to change due to data updates and revisions. Use these data with caution.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,County Name,County Code FIPS,ZIP Code Tabulation Area (5-Digit),SAEP Version,Estimated Total Population 2000,Estimated Total Population 2001,Estimated Total Population 2002,Estimated Total Population 2003,Estimated Total Population 2004,Estimated Total Population 2005,Estimated Total Population 2006,Estimated Total Population 2007,Estimated Total Population 2008,Estimated Total Population 2009,Estimated Total Population 2010,Estimated Total Population 2011,Estimated Total Population 2012,Estimated Total Population 2013,Estimated Total Population 2014,Estimated Total Population 2015,Estimated Total Population 2016,Estimated Total Population 2017,Estimated Total Population 2018,Estimated Total Population 2019,Estimated Total Population 2020,Numeric Change in Population 2000 to 2010,Percent Change in Population 2000 to 2010,Numeric Change in Population 2010 to 2020,Percent Change in Population 2010 to 2020
10,Adams,001,98857,"September 16, 2020",101.037,106.194,110.984,115.48,121.606,125.987,129.553,134.72,139.796,144.5,150,151.007,149.935,160.028,160.89,167.928,165.243,170.127,169.905,169.217,167.63,48.963,0.4846,17.63,0.11753
11,Adams,001,99032,"September 16, 2020",18.006,17.851,17.63,17.366,17.344,17.067,16.692,16.529,16.352,16.134,16,16.247,16.127,15.872,15.869,15.535,15.272,15.293,15.271,15.184,16.603,-2.006,(   11.141%),0.603,0.03769
12,Adams,001,99105,"September 16, 2020",64.919,64.684,64.22,63.602,63.864,63.189,62.151,61.902,61.6,61.136,61,62.044,60.692,60.48,61.163,58.954,57.788,57.587,57.486,56.266,56.863,-3.919,(    6.037%),-4.137,(    6.782%)
13,Adams,001,99159,"September 16, 2020",130.047,134.675,138.828,142.627,148.427,152.088,154.786,159.413,163.926,168.004,173,178.646,181.975,184.794,185.384,191.779,199.953,200.69,200.493,202.442,206.715,42.953,0.33029,33.715,0.19488
14,Adams,001,99169,"September 16, 2020",2595.052,2584.083,2563.907,2537.596,2546.312,2517.769,2474.677,2463.037,2449.322,2429.135,2422,2474.737,2466.458,2463.352,2459.368,2432.839,2432.576,2432.564,2432.498,2427.122,2459.963,-173.052,(    6.669%),37.963,0.01567
15,Adams,001,99326,"September 16, 2020",26.009,25.771,25.442,25.051,25.007,24.595,24.044,23.797,23.533,23.203,23,20.108,19.939,19.769,19.778,22.973,22.498,22.533,22.475,22.332,22.267,-3.009,(   11.569%),-0.733,(    3.187%)
16,Adams,001,99333,"September 16, 2020",39.015,36.803,34.457,32.039,30.048,27.606,25.036,22.801,20.54,18.223,16,16.102,15.956,15.869,16.036,14.674,14.388,14.409,14.385,14.283,14.393,-23.015,(   58.990%),-1.607,(   10.044%)
17,Adams,001,99341,"September 16, 2020",955.35,950.542,942.348,931.91,934.326,923.064,906.479,901.42,895.606,887.415,884,882.991,885.133,885.241,883.791,879.47,865.938,866.131,862.142,859.063,856.745,-71.35,(    7.468%),-27.255,(    3.083%)
18,Adams,001,99344,"September 16, 2020",12119.427,12405.56,12647.979,12858.617,13248.95,13447.304,13562.964,13848.192,14122.858,14360.345,14676,14842.576,14943.982,15080.132,15279.674,15321.023,15428.296,15782.485,15940.814,16080.125,16336.998,2556.573,0.21095,1660.998,0.11318
19,Adams,001,99371,"September 16, 2020",379.138,372.837,365.205,356.712,353.116,344.331,333.618,327.189,320.467,312.905,307,305.542,309.803,314.463,318.047,304.825,308.048,308.181,304.531,303.966,311.823,-72.138,(   19.027%),4.823,0.01571
20,Asotin,003,99401,"September 16, 2020",265.021,265.715,265.165,265.321,265.646,267.126,269.576,272.027,272.845,273.182,273,277.245,279.288,280.795,284.552,292.469,301.071,303.082,306.346,309.489,310.659,7.979,0.03011,37.659,0.13795
21,Asotin,003,99402,"September 16, 2020",1664.991,1685.324,1697.663,1714.46,1732.274,1757.575,1789.454,1821.49,1842.706,1860.646,1875,1879.056,1879.549,1900.006,1912.121,1915.399,1952.89,1962.82,1970.642,1981.587,1976.925,210.009,0.12613,101.925,0.05436
22,Asotin,003,99403,"September 16, 2020",18620.988,18698.961,18689.172,18729.219,18781.08,18914.299,19116.97,19319.483,19406.449,19459.172,19475,19493.699,19541.163,19619.199,19753.327,19802.132,19896.039,20024.098,20143.012,20228.924,20352.416,854.012,0.04586,877.416,0.04505
23,Benton,005,98930,"September 16, 2020",900.974,897.222,894.995,896.493,899.616,899.578,897.055,893.924,889.084,891.173,893,899.369,903.531,909.789,909,904.044,897.563,900.426,899.715,919.836,932.815,-7.974,(    0.885%),39.815,0.04459
24,Benton,005,98944,"September 16, 2020",52.004,50.936,49.96,49.19,48.501,47.64,46.647,45.627,44.523,43.773,43,42.952,42.214,43.193,43.144,42.175,41.845,41.927,41.419,45.19,45.913,-9.004,(   17.314%),2.913,0.06774
25,Benton,005,99320,"September 16, 2020",8175.922,8251.26,8340.138,8463.797,8603.494,8713.616,8799.555,8878.925,8940.569,9071.772,9201,9393.348,9620.062,9651.592,9743.341,9763.914,9829.113,9970.879,10040.023,10434.015,10617.638,1025.078,0.12538,1416.638,0.15397
26,Benton,005,99336,"September 16, 2020",40137.855,40864.858,41657.108,42623.486,43673.069,44574.138,45351.322,46092.968,46740.321,47750.843,48753,48979.941,49051.819,49372.002,49906.079,50075.275,50275.564,50591.045,51155.409,52034.528,52298.706,8615.145,0.21464,3545.706,0.07273
27,Benton,005,99337,"September 16, 2020",25612.119,25949.968,26329.881,26819.71,27361.092,27808.823,28179.391,28528.374,28819.798,29335.292,29845,29993.946,30168.015,30582.19,30936.704,31039.055,31294.248,31796.886,32241.672,32882.679,33336.662,4232.881,0.16527,3491.662,0.11699
28,Benton,005,99338,"September 16, 2020",7337.137,7733.487,8140.924,8582.63,9042.805,9473.488,9877.588,10272.859,10645.497,11100.537,11555,12205.195,12635.857,13461.555,14122.883,14611.141,15278.166,16162.179,17267.042,18502.893,19726.718,4217.863,0.57486,8171.718,0.7072
29,Benton,005,99345,"September 16, 2020",237.022,233.851,231.085,229.28,227.878,225.663,222.827,219.847,216.465,214.771,213,215.392,214.505,216.887,219.543,217.833,217.261,217.547,221.454,229.337,225.119,-24.022,(   10.135%),12.119,0.0569
30,Benton,005,99346,"September 16, 2020",252.021,261.161,270.695,281.367,292.612,302.888,312.315,321.482,329.96,341,352,354.79,359.574,369.66,372.562,371.07,369.197,374.716,382.256,399.108,405.69,99.979,0.39671,53.69,0.15253
31,Benton,005,99350,"September 16, 2020",11039.06,11168.193,11315.497,11510.03,11726.575,11902.883,12046.191,12180.359,12290.038,12495.298,12698,12832.107,12869.378,12938.368,12977.806,13009.848,13134.258,13278.08,13438.205,13644.112,13779.215,1658.94,0.15028,1081.215,0.08515
32,Benton,005,99352,"September 16, 2020",18618.754,19390.573,20191.291,21076.791,22006.254,22862.995,23655.739,24428.183,25147.982,26062.643,26975,27679.864,28447.246,29251.033,29825.942,30687.987,30813,31215.885,31641.302,32235.159,32977.559,8356.246,0.44881,6002.559,0.22252
33,Benton,005,99353,"September 16, 2020",9601.08,9938.869,10291.741,10687.781,11105.755,11486.747,11835.642,12174.618,12487.645,12897.54,13306,13702.369,14086.391,14617.589,15171.235,15520.239,15909.161,16250.302,16911.318,16988.646,17367.882,3704.92,0.38589,4061.882,0.30527
34,Benton,005,99354,"September 16, 2020",20511.052,20526.622,20576.685,20712.445,20886.349,20987.541,21030.728,21058.834,21046.118,21197.358,21343,21600.727,21601.408,21986.142,22271.761,22347.419,22440.624,22700.128,23180.185,23484.497,23986.083,831.948,0.04056,2643.083,0.12384
35,Chelan,007,98801,"September 16, 2020",36562.53,36836.751,37233.65,37410.263,37807.043,38451.163,39086.419,39692.545,40382.868,40713.63,40977,41121.576,41271.159,41481.875,42077.63,42366.47,42611.42,43028.178,43537.551,43740.443,44329.548,4414.47,0.12074,3352.548,0.08182
36,Chelan,007,98811,"September 16, 2020",66.005,66.206,66.626,66.654,67.079,67.941,68.781,69.572,70.506,70.81,71,70.568,74.731,74.985,74.811,75.221,77.076,77.16,76.991,77.404,77.67,4.995,0.07568,6.67,0.09394
37,Chelan,007,98815,"September 16, 2020",7021.798,7011.09,7024.077,6996.01,7009.621,7068.818,7125.755,7176.846,7242.54,7243.555,7233,7183.782,7230.303,7237.127,7121.169,7173.628,7252.724,7301.62,7335.484,7391.811,7499.647,211.202,0.03008,266.647,0.03687
38,Chelan,007,98816,"September 16, 2020",6111.41,6110.135,6129.48,6112.885,6132.694,6192.402,6250.201,6302.952,6368.627,6377.44,6376,6442.353,6505.661,6563.794,6660.473,6763.873,6922.579,7049.351,7181.341,7263.882,7452.776,264.59,0.04329,1076.776,0.16888
39,Chelan,007,98817,"September 16, 2020",338.156,339.401,341.781,342.15,344.541,349.183,353.735,358.009,363.028,364.811,366,364.155,364.157,367.445,368.971,373.187,379.729,386.36,392.244,385.39,386.506,27.844,0.08234,20.506,0.05603
40,Chelan,007,98821,"September 16, 2020",563.153,556.213,551.186,542.989,538.072,536.63,534.953,532.78,531.629,525.712,519,511.206,513.646,504.567,501.995,504.585,509.085,509.131,508.011,510.557,512.331,-44.153,(    7.840%),-6.669,(    1.285%)
41,Chelan,007,98822,"September 16, 2020",1923.202,1917.462,1918.19,1907.848,1908.765,1922.12,1934.923,1946.018,1961.05,1958.573,1953,1984.252,1998.51,2015.774,2023.694,2055.892,2080.532,2109.07,2130.161,2191.28,2241.343,29.798,0.01549,288.343,0.14764
42,Chelan,007,98826,"September 16, 2020",6147.696,6155.381,6183.799,6175.888,6204.663,6273.858,6341.208,6403.537,6479.078,6496.777,6504,6532.639,6649.049,6699.721,6755.119,6882.492,7054.837,7219.115,7322.983,7396.282,7534.079,356.304,0.05796,1030.079,0.15838
43,Chelan,007,98828,"September 16, 2020",1949.909,1959.82,1976.288,1981.09,1997.605,2027.157,2056.196,2083.665,2115.504,2128.503,2138,2144.514,2163.59,2187.852,2200.338,2219.88,2254.281,2278.021,2294.245,2314.178,2360.51,188.091,0.09646,222.51,0.10407
44,Chelan,007,98831,"September 16, 2020",3163.284,3203.22,3253.724,3284.856,3335.197,3407.409,3479.009,3548.156,3624.983,3669.581,3708,3728.377,3795.567,3857.061,3916.132,3998.33,4098.184,4197.079,4323.952,4450.05,4583.591,544.716,0.1722,875.591,0.23614
45,Chelan,007,98836,"September 16, 2020",612.858,607.215,603.649,596.597,593.136,593.509,593.646,593.252,594.022,589.467,584,583.806,584.966,586.89,581.563,579.668,593.805,579.831,582.387,558.174,526.304,-28.858,(    4.709%),-57.696,(    9.879%)
46,Chelan,007,98847,"September 16, 2020",2053.984,2031.36,2015.72,1988.447,1973.176,1970.654,1967.299,1962.162,1960.816,1941.885,1920,1928.757,1943.002,1916.853,1912.323,1930.272,1964.505,1983.708,2001.65,2026.879,2041.692,-133.984,(    6.523%),121.692,0.06338
47,Chelan,007,98852,"September 16, 2020",102.015,101.746,101.83,101.323,101.408,102.156,102.875,103.506,104.349,104.256,104,104.015,105.659,106.056,105.782,106.502,111.243,111.376,113,113.67,114.003,1.985,0.01946,10.003,0.09618
48,Clallam,009,98305,"September 16, 2020",356.033,355.217,355.197,354.375,354.991,356.387,359.475,360.56,361.03,359.551,358,359.601,359.28,363.089,369.235,373.415,375.507,377.673,381.082,382.559,383.41,1.967,0.00552,25.41,0.07098
49,Clallam,009,98326,"September 16, 2020",1242.214,1255.557,1271.726,1284.965,1303.348,1324.74,1352.568,1373.057,1391.219,1401.841,1412,1414.992,1418.676,1401.586,1374.017,1399.486,1400.398,1404.752,1384.628,1333.727,1327.966,169.786,0.13668,-84.034,(    5.951%)
50,Clallam,009,98331,"September 16, 2020",5350.495,5338.235,5337.947,5325.524,5334.789,5355.777,5402.193,5418.496,5425.563,5403.331,5380,5360.526,5419.212,5442.129,5452.542,5453.514,5492.495,5525.171,5573.618,5610.058,5663.587,29.505,0.00551,283.587,0.05271
51,Clallam,009,98350,"September 16, 2020",371.033,378.852,387.488,395.215,404.534,414.787,427.103,437.132,446.442,453.308,460,459.705,459.487,460.189,459.748,459.081,460.774,462.805,465.57,466.512,467.998,88.967,0.23978,7.998,0.01739
52,Clallam,009,98357,"September 16, 2020",1355.125,1357.141,1362.192,1364.129,1371.607,1382.119,1399.254,1408.649,1415.655,1414.991,1414,1412.972,1412.205,1414.661,1413.121,1410.788,1416.72,1423.83,1433.505,1436.808,1442.005,58.875,0.04345,28.005,0.01981
53,Clallam,009,98362,"September 16, 2020",21055.332,21112.619,21216.945,21272.678,21414.791,21604.512,21897.966,22070.491,22205.702,22220.607,22230,22286.777,22358.62,22404.498,22406.573,22440.438,22639.219,22828.475,22958.979,23260.253,23429.006,1174.668,0.05579,1199.006,0.05394
54,Clallam,009,98363,"September 16, 2020",12423.774,12480.124,12564.207,12619.433,12725.859,12860.666,13057.494,13182.441,13285.181,13315.853,13343,13413.942,13464.04,13496.848,13518.084,13546.144,13650.163,13754.451,13891.662,13960.855,14062.897,919.226,0.07399,719.897,0.05395
55,Clallam,009,98381,"September 16, 2020",801.033,755.852,712.537,667.767,625.766,584.965,546.432,504.406,461.372,416.02,371,374.852,374.778,377.75,381.702,379.911,385.072,387.714,393.601,394.765,396.193,-430.033,(   53.685%),25.193,0.06791
56,Clallam,009,98382,"September 16, 2020",21223.961,21683.403,22189.761,22643.914,23189.315,23788.047,24505.515,25091.768,25636.836,26041.498,26436,26516.633,26733.702,26989.25,27124.978,27187.223,27589.652,28075.129,28647.355,29164.463,29596.938,5212.039,0.24557,3160.938,0.11957
57,Clark,011,98601,"September 16, 2020",2351.678,2397.929,2475.914,2534.078,2606.046,2664.131,2728.257,2777.691,2816.695,2844.175,2851,2848.692,2872.477,2882.531,2887.383,2947.001,2980.692,3015.225,3082.644,3124.535,3136.442,499.322,0.21233,285.442,0.10012
58,Clark,011,98604,"September 16, 2020",24327.045,25279.189,26569.64,27654.559,28895.039,29986.231,31149.273,32145.915,33019.446,33753.208,34232,34507.712,34506.812,34851.052,35480.692,36364.617,36912.85,37800.904,38532.834,39289.392,39987.931,9904.955,0.40716,5755.931,0.16814
59,Clark,011,98606,"September 16, 2020",8092.647,8173.674,8361.837,8482.142,8647.745,8766.418,8904.592,8994.411,9050.752,9071.079,9027,9056.592,9136.086,9182.338,9304.463,9461.593,9559.711,9720.103,9851.74,9989.532,10183.547,934.353,0.11546,1156.547,0.12812
60,Clark,011,98607,"September 16, 2020",18319.047,19247.856,20436.257,21469.427,22625.569,23666.805,24766.085,25733.828,26602.108,27355.749,27899,28233.267,28658.631,29035.461,29669.017,30152.492,30812.088,31903.458,32812.612,33065.364,34292.16,9579.953,0.52295,6393.16,0.22915
61,Clark,011,98629,"September 16, 2020",6814.813,6959.17,7195.495,7374.503,7593.744,7772.583,7969.264,8122.971,8246.067,8335.44,8364,8448.18,8553.956,8636.431,8738.018,8918.424,9054.126,9174.487,9377.413,9552.632,9915.492,1549.187,0.22733,1551.492,0.1855
62,Clark,011,98642,"September 16, 2020",11835.711,12203.227,12733.151,13163.264,13666.458,14098.129,14562.96,14949.668,15279.535,15545.661,15696,15968.699,16327.425,16853.7,17501.258,18168.253,19116.061,19725.902,20441.134,22050.448,23277.427,3860.289,0.32616,7581.427,0.48302
63,Clark,011,98660,"September 16, 2020",10260.796,10404.709,10685.418,10879.993,11133.15,11326.311,11544.978,11701.106,11813.474,11878.351,11858,12059.777,12289.429,12391.678,12490.592,12773.222,13025.098,13498.445,13641.997,13851.656,14461.288,1597.204,0.15566,2603.288,0.21954
64,Clark,011,98661,"September 16, 2020",36472.646,36943.281,37899.21,38549.054,39405.987,40050.16,40784.19,41297.188,41655.919,41847.68,41740,41934.53,42146.245,42547.915,43288.518,44109.466,44690.47,45662.704,46211.521,46671.341,47764.102,5267.354,0.14442,6024.102,0.14432
65,Clark,011,98662,"September 16, 2020",23848.741,24590.935,25660.427,26528.82,27544.521,28416.07,29354.463,30135.428,30801.772,31339.593,31644,31670.39,31939.684,32227.121,32675.283,33174.399,33483.133,34182.648,34648.527,35141.81,35705.401,7795.259,0.32686,4061.401,0.12835
66,Clark,011,98663,"September 16, 2020",14073.78,14056.551,14222.016,14269.817,14392.075,14434.55,14507.993,14502.03,14442.847,14328.088,14115,14130.77,14177.046,14230.29,14529.222,14730.86,15058.669,15361.319,15384.659,15462.839,15625.163,41.22,0.00293,1510.163,0.10699
67,Clark,011,98664,"September 16, 2020",20532.491,20625.015,20986.783,21176.618,21478.326,21662.236,21893.526,22005.516,22036.101,21980.371,21771,21822.407,22041.179,22288.867,22726.944,23047.577,23357.004,23495.438,23436.642,23485.161,23788.894,1238.509,0.06032,2017.894,0.09269
68,Clark,011,98665,"September 16, 2020",20468.852,20796.087,21397.124,21826.254,22373.327,22800.238,23278.803,23631.419,23895.454,24062.976,24057,24046.263,24111.041,24234.351,24566.355,25061.996,25340.555,25824.866,26436.925,26780.928,26964.361,3588.148,0.1753,2907.361,0.12085
69,Clark,011,98671,"September 16, 2020",12491.469,13074.186,13832.791,14485.612,15220.916,15878.468,16574.641,17182.6,17724.38,18190.214,18517,18642.944,18805.702,19082.032,19445.418,19799.794,20287.975,20570.981,20892.297,21382.771,21562.244,6025.531,0.48237,3045.244,0.16446
70,Clark,011,98674,"September 16, 2020",2265.811,2294.141,2352.618,2392.058,2444.349,2483.43,2528.073,2559.02,2580.42,2591.472,2584,2603.398,2631.854,2650.148,2676.08,2731.948,2754.381,2787.431,2864.231,2892.69,2906.714,318.189,0.14043,322.714,0.12489
71,Clark,011,98675,"September 16, 2020",5214.967,5356.647,5569.41,5738.251,5938.736,6107.935,6291.37,6440.996,6566.202,6664.226,6713,6998.522,7053.888,7076.052,7122.927,7217.02,7331.912,7469.637,7649.231,7755.473,7866.49,1498.033,0.28726,1153.49,0.17183
72,Clark,011,98682,"September 16, 2020",43203.722,44105.697,45590.426,46711.798,48087.931,49208.039,50441.027,51401.949,52169.218,52723.37,52893,53199.064,53580.336,54052.699,54724.799,56027.924,58404.647,60335.956,62152.142,64052.633,65089.008,9689.278,0.22427,12196.008,0.23058
73,Clark,011,98683,"September 16, 2020",28114.086,28342.832,28942.591,29306.682,29826.765,30184.362,30608.777,30866.757,31010.066,31030.622,30832,30834.196,30862,31040.723,31689.848,32261.867,32656.402,32733.117,32799.094,33010.699,33760.89,2717.914,0.09667,2928.89,0.095
74,Clark,011,98684,"September 16, 2020",21090.793,21645.642,22487.612,23151.978,23943.824,24609.359,25332.136,25918.707,26407.085,26786.371,26968,26966.342,27011.762,27134.177,27537.584,28052.677,28697.494,29506.868,29835.702,30280.096,31282.499,5877.207,0.27866,4314.499,0.15999
75,Clark,011,98685,"September 16, 2020",21276.806,21737.823,22486.219,23055.647,23750.99,24320.042,24945.011,25435.496,25830.079,26118.953,26217,26445.408,26795.029,27033.482,27465.67,28231.002,28591.569,28958.382,29518.498,29879.23,30070.536,4940.194,0.23219,3853.536,0.14699
76,Clark,011,98686,"September 16, 2020",14182.099,14480.409,14970.061,15340.445,15794.502,16164.503,16571.581,16889.304,17143.38,17327.401,17385,17582.847,17749.418,18068.952,18279.929,18587.868,18895.163,19272.129,19930.157,20780.77,21559.411,3202.901,0.22584,4174.411,0.24012
77,Columbia,013,99328,"September 16, 2020",3708.709,3755.506,3757.586,3755.102,3766.317,3779.36,3774.126,3745.109,3749.922,3749.249,3733,3753.92,3755.11,3756.968,3740.044,3751.509,3717.748,3761.372,3803.932,3811.666,3835.736,24.291,0.00655,102.736,0.02752
78,Columbia,013,99347,"September 16, 2020",52.609,56.219,59.197,62.095,65.221,68.392,71.23,73.584,76.581,79.463,82,82.339,82.202,83.092,82.366,82.964,80.119,81.906,83.837,86.283,86.794,29.391,0.55867,4.794,0.05846
79,Columbia,013,99348,"September 16, 2020",25.092,24.571,23.749,22.897,22.13,21.368,20.506,19.523,18.722,17.894,17,17.052,17.002,16.543,16.283,16.058,15.524,15.861,16.201,16.188,15.26,-8.092,(   32.249%),-1.74,(   10.235%)
80,Columbia,013,99359,"September 16, 2020",161.161,162.563,162.023,161.285,161.136,161.067,160.218,158.364,157.949,157.296,156,156.617,156.467,155.975,155.751,155.283,155.001,157.482,158.164,158.137,159.95,-5.161,(    3.202%),3.95,0.02532
81,Columbia,013,99361,"September 16, 2020",116.429,115.141,112.445,109.621,107.196,104.813,101.92,98.42,95.826,93.098,90,90.072,89.219,87.422,85.556,84.186,81.608,83.379,87.866,87.726,87.26,-26.429,(   22.700%),-2.74,(    3.044%)
82,Cowlitz,015,98581,"September 16, 2020",421.036,422.166,421.681,422.202,421.607,422.497,424.828,426.535,427.722,426.672,424,426.641,425.687,427.152,428.72,429.201,432.089,434.478,442.145,450.007,463.707,2.964,0.00704,39.707,0.09365
83,Cowlitz,015,98601,"September 16, 2020",115.008,116.839,118.225,119.883,121.231,122.998,125.198,127.223,129.104,130.307,131,133.497,131.686,133.833,133.591,138.799,144.003,147.303,150.936,149.575,150.532,15.992,0.13905,19.532,0.1491
84,Cowlitz,015,98603,"September 16, 2020",760.024,787.295,811.541,837.668,861.574,888.464,918.573,947.512,975.452,998.25,1017,1033.095,1042.922,1014.679,1023.445,1037.043,1059.496,1089.312,1114.947,1157.656,1203.831,256.976,0.33812,186.831,0.18371
85,Cowlitz,015,98611,"September 16, 2020",8447.26,8532.781,8585.636,8658.607,8708.947,8789.607,8900.906,8999.504,9087.519,9127.968,9133,9139.85,9247.537,9268.591,9299.151,9382.713,9440.898,9561.509,9716.638,9861.315,10030.151,685.74,0.08118,897.151,0.09823
86,Cowlitz,015,98616,"September 16, 2020",84.389,87.321,89.925,92.733,95.296,98.188,101.434,104.557,107.565,110.004,112,112.149,111.943,99.563,99.147,106.512,106.272,106.438,106.935,107.707,108.509,27.611,0.32719,-3.491,(    3.117%)
87,Cowlitz,015,98625,"September 16, 2020",4588.926,4752.776,4898.444,5055.456,5199.045,5360.66,5541.665,5715.669,5883.546,6020.506,6133,6190.734,6241.053,6286.704,6341.01,6402.522,6510.855,6696.401,6937.417,7207.917,7389.175,1544.074,0.33648,1256.175,0.20482
88,Cowlitz,015,98626,"September 16, 2020",22883.917,23093.683,23215.057,23390.857,23505.519,23702.008,23981.065,24225.69,24441.758,24529.821,24523,24595.072,24613.952,24698.925,24772.31,24823.443,24882.086,24985.192,25268.745,25570.998,25876.66,1639.083,0.07163,1353.66,0.0552
89,Cowlitz,015,98632,"September 16, 2020",46761.777,47095.879,47249.778,47514.545,47655.261,47961.825,48435.056,48838.062,49182.929,49270.327,49168,49237.392,49341.098,49403.088,49480.377,49609.54,49745.125,50112.835,50440.384,50948.087,51359.974,2406.223,0.05146,2191.974,0.04458
90,Cowlitz,015,98645,"September 16, 2020",1177.017,1204.606,1227.591,1253.429,1275.964,1302.932,1334.537,1364.357,1392.653,1413.64,1429,1434.901,1441.182,1455.476,1477.751,1485.186,1500.579,1506.324,1543.306,1602.166,1663.181,251.983,0.21409,234.181,0.16388
91,Cowlitz,015,98649,"September 16, 2020",772.561,786.365,797.166,809.824,820.352,833.735,850.06,865.21,879.381,888.945,895,907.704,917.206,923.683,939.613,947.893,968.229,991.256,1022.935,1042.816,1076.85,122.439,0.15848,181.85,0.20318
92,Cowlitz,015,98674,"September 16, 2020",6936.085,7201.289,7438.956,7693.796,7928.204,8190.086,8481.678,8762.681,9034.371,9258.56,9445,9488.965,9535.734,9588.306,9704.885,9917.148,10060.368,10268.952,10565.612,10851.756,11174.76,2508.915,0.36172,1729.76,0.18314
93,Douglas,017,98802,"September 16, 2020",23337.433,23610.271,23764.827,24366.187,24767.582,25258.034,26128.684,26851.404,27622.388,28320.677,28719,28871.435,29025.652,29298.15,29596.865,29809.674,30287.565,30776.993,31340.75,31782.708,32575.547,5381.567,0.2306,3856.547,0.13429
94,Douglas,017,98812,"September 16, 2020",625.298,617.034,606.087,606.721,602.403,600.338,607.144,610.231,614.205,616.373,612,614.65,626.234,638.36,647.369,651.384,664.529,697.045,705.954,713.272,721.516,-13.298,(    2.127%),109.516,0.17895
95,Douglas,017,98813,"September 16, 2020",2646.297,2655.416,2651.826,2698.335,2722.755,2757.079,2832.67,2891.832,2955.881,3011.904,3036,3036.48,3061.346,3078.806,3103.371,3113.648,3151.638,3161.856,3174.363,3204.19,3215.788,389.703,0.14726,179.788,0.05922
96,Douglas,017,98816,"September 16, 2020",14.002,14.242,14.408,14.845,15.159,15.528,16.131,16.644,17.188,17.688,18,25.169,25.188,32.948,40.378,45.444,53.478,74.883,94.952,115.923,117.176,3.998,0.28553,99.176,5.50978
97,Douglas,017,98823,"September 16, 2020",42.777,43.116,43.239,44.182,44.759,45.499,46.923,48.076,49.316,50.423,51,51.102,51.116,54.174,54.689,54.365,56.111,56.979,58.37,61.456,64.315,8.223,0.19223,13.315,0.26108
98,Douglas,017,98830,"September 16, 2020",516.7,508.711,498.549,497.919,493.24,490.404,494.798,496.149,498.163,498.741,494,493.943,500.715,502.696,508.584,509.336,517.343,522.897,528.604,530.447,531.58,-22.7,(    4.393%),37.58,0.07607
99,Douglas,017,98843,"September 16, 2020",1495.227,1510.431,1518.129,1554.394,1577.906,1607.104,1660.472,1704.4,1751.359,1793.675,1817,1857.599,1896.127,1946.233,1999.053,2030.687,2076.234,2138.516,2210.365,2284.609,2388.834,321.773,0.2152,571.834,0.31471
100,Douglas,017,98845,"September 16, 2020",128.25,126.8,124.789,125.165,124.517,124.333,125.988,126.878,127.956,128.659,128,129.906,129.7,130.899,132.138,137.952,139.822,141.521,131.617,131.817,140.758,-0.25,(    0.195%),12.758,0.09967
101,Douglas,017,98848,"September 16, 2020",61.009,59.343,57.437,56.644,55.39,54.346,54.097,53.497,52.963,52.259,51,50.677,59.059,56.783,57.365,56.482,57.306,60.656,53.528,56.543,57.268,-10.009,(   16.406%),6.268,0.1229
102,Douglas,017,98850,"September 16, 2020",1705.01,1670.03,1628.138,1617.506,1593.693,1575.932,1581.297,1576.725,1574.238,1566.934,1543,1547.572,1545.645,1554.993,1560.465,1579.607,1694.752,1745.716,1792.903,1893.407,1868.916,-162.01,(    9.502%),325.916,0.21122
103,Douglas,017,98858,"September 16, 2020",1623.94,1595.713,1560.721,1555.653,1537.885,1525.913,1536.416,1537.37,1540.448,1538.874,1521,1533.227,1538.583,1542.843,1556.717,1558.363,1571.992,1589.939,1592.3,1604.81,1623.76,-102.94,(    6.339%),102.76,0.06756
